원본 출처,L1 대분류,L1 소분류,L1 중분류,QID,구분,연도
2026 KMLE 2교시 77번,마이너,두통,신경과/신경외과,,임상의학,
2026 KMLE 2교시 46번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2026 KMLE 3교시 16번,소아청소년과,면역학,총론,,임상의학,
2026 KMLE 2교시 28번,내과,천식,호흡기,,임상의학,
2026 KMLE 3교시 5번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2026 KMLE 2교시 45번,산부인과,자궁내막증,부인과-생식내분비,,임상의학,
2026 KMLE 2교시 67번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 2교시 60번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2026 KMLE 3교시 30번,소아청소년과,성장,총론,,임상의학,
2026 KMLE 3교시 15번,내과,위장관 출혈,소화기-위장관,,임상의학,
2026 KMLE 2교시 44번,소아청소년과,성장,총론,,임상의학,
2026 KMLE 3교시 4번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2026 KMLE 2교시 36번,마이너,혼수,신경과/신경외과,,임상의학,
2026 KMLE 2교시 76번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 2교시 59번,외과,탈장,외과각론,SGSP00600012,임상의학,
2026 KMLE 3교시 29번,내과,위·십이지장 질환,소화기-위장관,,임상의학,
2026 KMLE 3교시 14번,내과,위장관 출혈,소화기-위장관,,임상의학,
2026 KMLE 2교시 43번,외과,동맥계,외과각론,SGSP01800008,임상의학,
2026 KMLE 2교시 27번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 2교시 35번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 3교시 3번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 2교시 75번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 2교시 66번,마이너,견갑부(어깨) 질환,정형외과,,임상의학,
2026 KMLE 2교시 42번,외과,외상,외과총론,SGGN01000014,임상의학,
2026 KMLE 2교시 58번,소아청소년과,소아 안과,각론,,임상의학,
2026 KMLE 2교시 34번,정신건강의학과,신경인지장애(인지기능장애),질환,,임상의학,
2026 KMLE 2교시 26번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 3교시 13번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2026 KMLE 3교시 28번,마이너,청력소실/이명,이비인후과,,임상의학,
2026 KMLE 2교시 74번,,,,,,
2026 KMLE 2교시 41번,내과,출혈성 질환의 접근,혈액,,임상의학,
2026 KMLE 2교시 33번,마이너,"구강·인두과학(타액선, 편도선)",이비인후과,,임상의학,
2026 KMLE 2교시 57번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 2교시 65번,마이너,홍반/두드러기/약물발진,피부과,,임상의학,
2026 KMLE 2교시 73번,,,,,,
2026 KMLE 2교시 25번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 3교시 27번,마이너,두통,신경과/신경외과,,임상의학,
2026 KMLE 2교시 32번,마이너,사고와 중독,응급의학과,,임상의학,
2026 KMLE 2교시 56번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 2교시 72번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2026 KMLE 2교시 64번,마이너,두부외상(외상),신경과/신경외과,,임상의학,
2026 KMLE 3교시 26번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 3교시 2번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2026 KMLE 2교시 24번,내과,콩팥병의 접근,신장,,임상의학,
2026 KMLE 2교시 31번,소아청소년과,호흡기 질환,각론,,임상의학,
2026 KMLE 2교시 55번,외과,유방,외과각론,SGSP00100014,임상의학,
2026 KMLE 2교시 71번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2026 KMLE 2교시 63번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 3교시 25번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 2교시 23번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2026 KMLE 3교시 12번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 2교시 54번,외과,소아외과,외과각론,SGSP02000012,임상의학,
2026 KMLE 3교시 1번,마이너,수정체 질환,안과,,임상의학,
2026 KMLE 2교시 62번,마이너,청력소실/이명,이비인후과,,임상의학,
2026 KMLE 3교시 24번,외과,"지혈, 출혈 및 수혈",외과총론,SGGN00200009,임상의학,
2026 KMLE 2교시 22번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2026 KMLE 3교시 11번,소아청소년과,감염병,각론,,임상의학,
2026 KMLE 2교시 53번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2026 KMLE 2교시 61번,내과,당뇨병,내분비,,임상의학,
2026 KMLE 2교시 21번,정신건강의학과,불안장애,질환,,임상의학,
2026 KMLE 3교시 23번,내과,감염질환 개요,감염,,임상의학,
2026 KMLE 2교시 52번,내과,류마티스질환의 접근,류마티스,,임상의학,
2026 KMLE 3교시 22번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2026 KMLE 2교시 51번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2026 KMLE 3교시 21번,외과,급성 복증,외과각론,SGSP00700002,임상의학,
