원본 출처,L1 대분류,L1 소분류,L1 중분류,QID,구분,연도
2021 KMLE 1교시 23번,산부인과,월경통(월경곤란증/월경전 증후군),부인과-일반,,임상의학,
2026 KMLE 1교시 35번,예방의학,임상예방의학과 건강진단,건강증진/의료윤리,,인문사회의학,
2023 KMLE 2교시 15번,마이너,신경근육 질환,신경과/신경외과,,임상의학,
2022 KMLE 1교시 3번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2021 KMLE 2교시 2번,내과,갑상샘 기능이상,내분비,,임상의학,
2021 KMLE 1교시 33번,외과,담낭과 담도,외과각론,SGSP01500007,임상의학,
2021 KMLE 3교시 21번,외과,유방,외과각론,SGSP00100009,임상의학,
2022 KMLE 4교시 62번,산부인과,산전 관리,산과-산전관리,,임상의학,
2021 KMLE 4교시 39번,내과,위장관 출혈,소화기-위장관,,임상의학,
2024 KMLE 1교시 72번,예방의학,역학적 연구방법론,역학,,인문사회의학,
2022 KMLE 4교시 10번,내과,부신피질 질환,내분비,,임상의학,
2025 KMLE 4교시 30번,외과,막창자꼬리(충수),외과각론,SGSP01100001,임상의학,
2024 KMLE 3교시 56번,산부인과,폐경,부인과-생식내분비,,임상의학,
2022 KMLE 3교시 54번,내과,갑상샘 기능이상,내분비,,임상의학,
2025 KMLE 4교시 79번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2022 KMLE 2교시 11번,내과,급성 콩팥기능상실,신장,,임상의학,
2025 KMLE 1교시 71번,예방의학,산업재해,환경 및 산업보건,,인문사회의학,
2024 KMLE 3교시 16번,산부인과,난소종양,부인과-종양,,임상의학,
2022 KMLE 1교시 7번,의료법규,응급의료에 관한 법률,의료법규,,인문사회의학,
2024 KMLE 2교시 77번,산부인과,요실금/골반장기 탈출증/샛길,부인과-기타,,임상의학,
2025 KMLE 3교시 55번,내과,황달과 고빌리루빈혈증,소화기-간담췌,,임상의학,
2025 KMLE 4교시 40번,소아청소년과,호흡기 질환,각론,,임상의학,
2023 KMLE 2교시 62번,내과,위·십이지장 질환,소화기-위장관,,임상의학,
2025 KMLE 3교시 19번,내과,폐렴,호흡기,,임상의학,
2021 KMLE 4교시 44번,내과,류마티스관절염,류마티스,,임상의학,
2022 KMLE 1교시 50번,소아청소년과,신경계 질환,각론,,임상의학,
2021 KMLE 5교시 34번,산부인과,자궁외 임신(딴곳임신),산과-이상임신,,임상의학,
2023 KMLE 4교시 7번,,,,,,
2023 KMLE 1교시 9번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2021 KMLE 3교시 56번,외과,정맥계,외과각론,SGSP01900006,임상의학,
2024 KMLE 3교시 67번,내과,철결핍빈혈,혈액,,임상의학,
2024 KMLE 4교시 4번,산부인과,난소종양,부인과-종양,,임상의학,
2022 KMLE 3교시 2번,소아청소년과,성장,총론,,임상의학,
2024 KMLE 1교시 64번,예방의학,직업성 질환,환경 및 산업보건,,인문사회의학,
2021 KMLE 4교시 15번,소아청소년과,감염병,각론,,임상의학,
2024 KMLE 3교시 78번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2024 KMLE 2교시 23번,정신건강의학과,소아·청소년 정신의학,특수분야,,임상의학,
2024 KMLE 2교시 2번,소아청소년과,심혈관 질환,각론,,임상의학,
2024 KMLE 4교시 55번,산부인과,무월경,부인과-생식내분비,,임상의학,
2024 KMLE 4교시 24번,내과,심근질환,순환기,,임상의학,
2022 KMLE 4교시 51번,내과,식도질환,소화기-위장관,,임상의학,
2022 KMLE 1교시 43번,소아청소년과,신생아 가사 및 소생술,총론,,임상의학,
2024 KMLE 2교시 12번,내과,폐렴,호흡기,,임상의학,
2024 KMLE 4교시 74번,정신건강의학과,물질관련 장애(알코올/약물),질환,,임상의학,
2021 KMLE 3교시 16번,정신건강의학과,소아·청소년 정신의학,특수분야,,임상의학,
2024 KMLE 3교시 22번,내과,염증성 장질환,소화기-위장관,,임상의학,
2021 KMLE 2교시 37번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2021 KMLE 1교시 63번,예방의학,직업성 질환,환경 및 산업보건,,인문사회의학,
2021 KMLE 3교시 64번,내과,심막질환,순환기,,임상의학,
2026 KMLE 1교시 17번,의료법규,혈액관리법,의료법규,,인문사회의학,
2021 KMLE 2교시 27번,내과,부신수질 질환,내분비,,임상의학,
2022 KMLE 4교시 69번,내과,만성폐쇄성폐질환,호흡기,,임상의학,
2023 KMLE 4교시 37번,내과,흉막과 종격동 질환,호흡기,,임상의학,
2021 KMLE 3교시 54번,내과,천식,호흡기,,임상의학,
2021 KMLE 5교시 4번,산부인과,난소종양,부인과-종양,,임상의학,
2025 KMLE 1교시 11번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2023 KMLE 1교시 73번,예방의학,비감염성(만성) 질환의 역학과 관리,역학,,인문사회의학,
2023 KMLE 4교시 49번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2021 KMLE 4교시 67번,내과,심근질환,순환기,,임상의학,
2025 KMLE 4교시 42번,소아청소년과,소화기 질환,각론,,임상의학,
2021 KMLE 2교시 70번,외과,위와 샘창자(십이지장),외과각론,SGSP00900008,임상의학,
2021 KMLE 1교시 39번,산부인과,무월경,부인과-생식내분비,,임상의학,
2023 KMLE 3교시 23번,내과,천식,호흡기,,임상의학,
2023 KMLE 2교시 6번,마이너,감염성 피부질환(세균/진균/바이러스),피부과,,임상의학,
2024 KMLE 2교시 24번,정신건강의학과,외상 및 스트레스 관련 장애,질환,,임상의학,
2023 KMLE 2교시 66번,산부인과,난산(비정상 진통과 분만),산과-분만관리,,임상의학,
2025 KMLE 2교시 78번,소아청소년과,감염병,각론,,임상의학,
2022 KMLE 2교시 77번,외과,항문,외과각론,SGSP01300004,임상의학,
2022 KMLE 3교시 25번,외과,위와 샘창자(십이지장),외과각론,SGSP00900017,임상의학,
2025 KMLE 4교시 52번,소아청소년과,소화기 질환,각론,,임상의학,
2025 KMLE 3교시 65번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2021 KMLE 3교시 57번,외과,화상과 한랭 손상,외과총론,SGGN01100003,임상의학,
2023 KMLE 1교시 15번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2024 KMLE 4교시 41번,내과,만성 콩팥기능상실,신장,,임상의학,
2024 KMLE 1교시 37번,산부인과,무월경,부인과-생식내분비,,임상의학,
2022 KMLE 1교시 8번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2021 KMLE 2교시 35번,정신건강의학과,강박장애,질환,,임상의학,
2025 KMLE 1교시 62번,예방의학,질병 및 사망분포의 측정,역학,,인문사회의학,
2024 KMLE 4교시 14번,내과,부신피질 질환,내분비,,임상의학,
2026 KMLE 1교시 43번,외과,식도,외과각론,SGSP00800005,임상의학,
2022 KMLE 1교시 40번,외과,외과적 감염 및 예방적 처치,외과총론,SGGN00700002,임상의학,
2024 KMLE 1교시 3번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2023 KMLE 3교시 75번,정신건강의학과,강박장애,질환,,임상의학,
2025 KMLE 1교시 38번,소아청소년과,심혈관 질환,각론,,임상의학,
2023 KMLE 4교시 55번,내과,천식,호흡기,,임상의학,
2022 KMLE 4교시 75번,내과,심부전,순환기,,임상의학,
2021 KMLE 1교시 66번,예방의학,건강증진과 보건교육,건강증진/의료윤리,,인문사회의학,
2024 KMLE 2교시 74번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2022 KMLE 4교시 19번,내과,골수증식질환,혈액,,임상의학,
2024 KMLE 1교시 36번,소아청소년과,신경계 질환,각론,,임상의학,
2025 KMLE 2교시 34번,정신건강의학과,기분 장애,질환,,임상의학,
2021 KMLE 1교시 25번,외과,정맥계,외과각론,SGSP01900005,임상의학,
2021 KMLE 4교시 53번,외과,위와 샘창자(십이지장),외과각론,"SGSP00900012, SGSP00900016",임상의학,
2021 KMLE 4교시 27번,외과,위와 샘창자(십이지장),외과각론,"SGSP00900011, SGSP00900015",임상의학,
2022 KMLE 2교시 78번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2021 KMLE 3교시 25번,소아청소년과,내분비 질환,각론,,임상의학,
2021 KMLE 3교시 35번,소아청소년과,감염병,각론,,임상의학,
2022 KMLE 2교시 80번,내과,당뇨병의 합병증,내분비,,임상의학,
2023 KMLE 4교시 63번,외과,항문,외과각론,SGSP01300006,임상의학,
2025 KMLE 2교시 64번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2024 KMLE 4교시 29번,내과,심부전,순환기,,임상의학,
2024 KMLE 4교시 65번,소아청소년과,소화기 질환,각론,,임상의학,
2026 KMLE 1교시 59번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2023 KMLE 2교시 24번,내과,폐결핵,호흡기,,임상의학,
2024 KMLE 4교시 11번,내과,그람양성균 감염,감염,,임상의학,
2023 KMLE 2교시 18번,산부인과,산욕기 이상(질환),산과-산후관리,,임상의학,
2022 KMLE 2교시 28번,외과,화상과 한랭 손상,외과총론,SGGN01100004,임상의학,
2024 KMLE 2교시 14번,외과,탈장,외과각론,"SGSP00600001, SGSP00600003",임상의학,
2022 KMLE 2교시 76번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2024 KMLE 3교시 61번,내과,식도질환,소화기-위장관,,임상의학,
2022 KMLE 2교시 7번,마이너,신경근육 질환,신경과/신경외과,,임상의학,
2023 KMLE 3교시 39번,소아청소년과,소화기 질환,각론,,임상의학,
2022 KMLE 1교시 28번,산부인과,무월경,부인과-생식내분비,,임상의학,
2022 KMLE 3교시 13번,내과,폐색전증,호흡기,,임상의학,
2025 KMLE 4교시 11번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2022 KMLE 2교시 22번,내과,만성폐쇄성폐질환,호흡기,,임상의학,
2024 KMLE 2교시 16번,외과,결장 및 직장,외과각론,SGSP01200006,임상의학,
2023 KMLE 2교시 40번,내과,천식,호흡기,,임상의학,
2021 KMLE 4교시 1번,외과,소아외과,외과각론,SGSP02000006,임상의학,
2025 KMLE 2교시 33번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2022 KMLE 3교시 67번,내과,심부전,순환기,,임상의학,
2024 KMLE 1교시 13번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2023 KMLE 3교시 31번,마이너,감염성 피부질환(세균/진균/바이러스),피부과,,임상의학,
2025 KMLE 3교시 48번,소아청소년과,소화기 질환,각론,,임상의학,
2024 KMLE 3교시 27번,내과,심부전,순환기,,임상의학,
2025 KMLE 3교시 58번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2025 KMLE 4교시 55번,산부인과,외음부 및 질 질환,부인과-일반,,임상의학,
2023 KMLE 4교시 30번,내과,콩팥토리질환,신장,,임상의학,
2023 KMLE 3교시 74번,정신건강의학과,신체증상 및 관련장애(신체형장애),질환,,임상의학,
2025 KMLE 3교시 25번,내과,안정형 협심증,순환기,,임상의학,
2024 KMLE 1교시 38번,산부인과,무월경,부인과-생식내분비,,임상의학,
2025 KMLE 3교시 44번,소아청소년과,감염병,각론,,임상의학,
2024 KMLE 2교시 57번,소아청소년과,신·요로 질환,각론,,임상의학,
2023 KMLE 1교시 37번,마이너,일차의료 원칙,가정의학과,,임상의학,
2023 KMLE 1교시 12번,의료법규,마약류관리에 관한 법률,의료법규,,인문사회의학,
2024 KMLE 3교시 47번,내과,기생충 감염,감염,,임상의학,
2023 KMLE 3교시 52번,내과,갑상샘 기능이상,내분비,,임상의학,
2021 KMLE 4교시 12번,내과,아나필락시스,알레르기,,임상의학,
2023 KMLE 1교시 50번,산부인과,자궁근종,부인과-일반,,임상의학,
2023 KMLE 1교시 75번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2025 KMLE 2교시 37번,외과,정맥계,외과각론,SGSP01900002,임상의학,
2024 KMLE 4교시 47번,내과,재생불량빈혈/골수이형성증후군,혈액,,임상의학,
2021 KMLE 5교시 31번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2025 KMLE 4교시 36번,소아청소년과,신생아 질환,총론,,임상의학,
2022 KMLE 3교시 1번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2025 KMLE 1교시 22번,정신건강의학과,섭식 장애,질환,,임상의학,
2021 KMLE 2교시 19번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2023 KMLE 4교시 31번,마이너,사고와 중독,응급의학과,,임상의학,
2023 KMLE 4교시 78번,내과,간 종양,소화기-간담췌,,임상의학,
2025 KMLE 4교시 32번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2022 KMLE 3교시 69번,내과,심부전,순환기,,임상의학,
2023 KMLE 4교시 54번,외과,위와 샘창자(십이지장),외과각론,SGSP00900025,임상의학,
2022 KMLE 2교시 79번,마이너,"이과학(바깥귀, 고막, 중이염, 어지럼)",이비인후과,,임상의학,
2023 KMLE 1교시 35번,소아청소년과,신경계 질환,각론,,임상의학,
2025 KMLE 3교시 69번,내과,내분비 대사질환 개요,내분비,,임상의학,
2025 KMLE 1교시 74번,예방의학,건강과 질병의 정의/건강 결정요인,건강증진/의료윤리,,인문사회의학,
2022 KMLE 2교시 19번,산부인과,비상피성 난소암(종양),부인과-종양,,임상의학,
2025 KMLE 1교시 64번,예방의학,역학적 연구방법론,역학,,인문사회의학,
2022 KMLE 4교시 54번,내과,장혈관 질환,소화기-위장관,,임상의학,
2024 KMLE 4교시 23번,내과,감염성 심내막염,순환기,,임상의학,
2022 KMLE 1교시 56번,산부인과,월경통(월경곤란증/월경전 증후군),부인과-일반,,임상의학,
2024 KMLE 3교시 52번,내과,췌장 질환,소화기-간담췌,,임상의학,
2022 KMLE 2교시 55번,내과,염증성 장질환,소화기-위장관,,임상의학,
2024 KMLE 2교시 29번,마이너,"이과학(바깥귀, 고막, 중이염, 어지럼)",이비인후과,,임상의학,
2025 KMLE 3교시 36번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2025 KMLE 4교시 29번,외과,소아외과,외과각론,SGSP02000002,임상의학,
2022 KMLE 4교시 17번,내과,출혈성 질환의 접근,혈액,,임상의학,
2024 KMLE 2교시 41번,내과,뇌하수체 후엽 질환,내분비,,임상의학,
2025 KMLE 2교시 31번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2023 KMLE 4교시 26번,산부인과,무월경,부인과-생식내분비,,임상의학,
2026 KMLE 1교시 66번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2023 KMLE 3교시 73번,정신건강의학과,기분 장애,질환,,임상의학,
2022 KMLE 2교시 16번,외과,물림과 쏘임,외과총론,SGGN01200003,임상의학,
2025 KMLE 4교시 68번,내과,황달과 고빌리루빈혈증,소화기-간담췌,,임상의학,
2024 KMLE 1교시 54번,산부인과,자궁근종,부인과-일반,,임상의학,
2022 KMLE 4교시 41번,외과,결장 및 직장,외과각론,SGSP01200013,임상의학,
2026 KMLE 1교시 1번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2023 KMLE 3교시 70번,산부인과,양수 및 태반 이상,산과-이상임신,,임상의학,
2025 KMLE 3교시 50번,산부인과,가족계획,부인과-일반,,임상의학,
2021 KMLE 3교시 15번,외과,위와 샘창자(십이지장),외과각론,SGSP00900009,임상의학,
2021 KMLE 1교시 5번,의료법규,국민건강증진법,의료법규,,인문사회의학,
2021 KMLE 3교시 44번,내과,기생충 감염,감염,,임상의학,
2024 KMLE 1교시 32번,외과,외과적 감염 및 예방적 처치,외과총론,SGGN00700001,임상의학,
2022 KMLE 1교시 67번,예방의학,감염성 질환의 역학과 관리,역학,,인문사회의학,
2022 KMLE 4교시 66번,산부인과,조산,산과-이상임신,,임상의학,
2025 KMLE 3교시 37번,산부인과,수술적 산과학(산과 수기 및 수술),산과-분만관리,,임상의학,
2021 KMLE 2교시 62번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2023 KMLE 4교시 17번,정신건강의학과,신경인지장애(인지기능장애),질환,,임상의학,
2022 KMLE 1교시 42번,소아청소년과,심혈관 질환,각론,,임상의학,
2025 KMLE 2교시 36번,정신건강의학과,불안장애,질환,,임상의학,
2021 KMLE 1교시 55번,내과,갑상샘 기능이상,내분비,,임상의학,
2022 KMLE 1교시 37번,내과,ST분절 상승 심근경색,순환기,,임상의학,
2025 KMLE 1교시 18번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2022 KMLE 4교시 7번,내과,결정유발 관절염,류마티스,,임상의학,
2021 KMLE 1교시 43번,외과,소아외과,외과각론,SGSP02000004,임상의학,
2023 KMLE 2교시 4번,내과,파종혈관내응고(DIC),혈액,,임상의학,
2025 KMLE 3교시 42번,,,,,,
2023 KMLE 3교시 59번,외과,외과적 감염 및 예방적 처치,외과총론,SGSP01300005,임상의학,
2025 KMLE 1교시 31번,예방의학,질병 및 사망분포의 측정,역학,,인문사회의학,
2023 KMLE 4교시 23번,내과,고혈압,순환기,,임상의학,
2024 KMLE 3교시 23번,외과,항문,외과각론,SGSP01300002,임상의학,
2021 KMLE 4교시 63번,내과,신대체요법,신장,,임상의학,
2021 KMLE 4교시 36번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2022 KMLE 4교시 26번,내과,급성 감염성 설사/세균성 식중독,감염,,임상의학,
2023 KMLE 1교시 80번,의료법규,의료윤리,의료법규,,인문사회의학,
2021 KMLE 2교시 3번,소아청소년과,소아의 영양,총론,,임상의학,
2025 KMLE 2교시 53번,산부인과,산과 초음파,산과-산전관리,,임상의학,
2022 KMLE 3교시 55번,소아청소년과,소화기 질환,각론,,임상의학,
2024 KMLE 2교시 4번,마이너,홍반/두드러기/약물발진,피부과,,임상의학,
2024 KMLE 1교시 67번,예방의학,건강관련 행태와 의료이용,의료관리,,인문사회의학,
2024 KMLE 3교시 76번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2023 KMLE 4교시 38번,내과,폐결핵,호흡기,,임상의학,
2024 KMLE 4교시 26번,내과,판막질환,순환기,,임상의학,
2026 KMLE 1교시 34번,,,,,,
2023 KMLE 1교시 52번,소아청소년과,신생아 가사 및 소생술,총론,,임상의학,
2023 KMLE 3교시 37번,내과,열과 불명열,감염,,임상의학,
2023 KMLE 1교시 79번,의료법규,의료윤리,의료법규,,인문사회의학,
2025 KMLE 1교시 44번,산부인과,무월경,부인과-생식내분비,,임상의학,
2024 KMLE 4교시 48번,내과,만성 백혈병,혈액,,임상의학,
2021 KMLE 2교시 66번,산부인과,산과적 출혈,산과-이상임신,,임상의학,
2022 KMLE 2교시 13번,소아청소년과,신생아 황달,총론,,임상의학,
2024 KMLE 1교시 51번,내과,빈맥성 부정맥,순환기,,임상의학,
2023 KMLE 4교시 72번,산부인과,유전상담과 산전 진단,산과-산전관리,,임상의학,
2025 KMLE 1교시 41번,예방의학,지역사회보건,의료관리,,임상의학,
2021 KMLE 2교시 1번,내과,갑상샘 기능이상,내분비,,임상의학,
2022 KMLE 3교시 4번,정신건강의학과,강박장애,질환,,임상의학,
2024 KMLE 4교시 16번,내과,당뇨병의 합병증,내분비,,임상의학,
2025 KMLE 2교시 40번,산부인과,비정상 자궁출혈,부인과-일반,,임상의학,
2025 KMLE 4교시 51번,소아청소년과,호흡기 질환,각론,,임상의학,
2023 KMLE 1교시 40번,외과,결장 및 직장,외과각론,SGSP00600005,임상의학,
2024 KMLE 1교시 17번,의료법규,마약류관리에 관한 법률,의료법규,,인문사회의학,
2022 KMLE 2교시 24번,내과,콩팥토리질환,신장,,임상의학,
2024 KMLE 4교시 7번,외과,췌장,외과각론,SGGN01000005,임상의학,
2024 KMLE 2교시 26번,외과,위와 샘창자(십이지장),외과각론,SGSP00900005,임상의학,
2021 KMLE 3교시 12번,내과,아나필락시스,알레르기,,임상의학,
2022 KMLE 4교시 76번,내과,폐색전증,호흡기,,임상의학,
2022 KMLE 2교시 46번,마이너,뇌혈관 질환(뇌출혈/뇌경색),신경과/신경외과,,임상의학,
2023 KMLE 3교시 54번,산부인과,자궁내막증,부인과-생식내분비,,임상의학,
2024 KMLE 4교시 33번,내과,안정형 협심증,순환기,,임상의학,
2022 KMLE 1교시 73번,예방의학,물리적 환경,환경 및 산업보건,,인문사회의학,
2023 KMLE 2교시 57번,마이너,뇌혈관 질환(뇌출혈/뇌경색),신경과/신경외과,,임상의학,
2021 KMLE 1교시 52번,내과,폐암,호흡기,,임상의학,
2023 KMLE 4교시 21번,내과,심근질환,순환기,,임상의학,
2023 KMLE 3교시 65번,내과,척추관절병증,류마티스,,임상의학,
2022 KMLE 3교시 18번,소아청소년과,소화기 질환,각론,,임상의학,
2025 KMLE 2교시 63번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2023 KMLE 4교시 18번,내과,과민성 대장증후군,소화기-위장관,,임상의학,
2025 KMLE 1교시 5번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2024 KMLE 2교시 70번,정신건강의학과,조현병 및 기타 정신병적 장애,질환,,임상의학,
2023 KMLE 3교시 33번,,,,,,
2023 KMLE 1교시 39번,정신건강의학과,망상장애,질환,,임상의학,
2023 KMLE 4교시 2번,내과,안정형 협심증,순환기,,임상의학,
2021 KMLE 4교시 61번,내과,콩팥병의 접근,신장,,임상의학,
2024 KMLE 1교시 12번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2022 KMLE 4교시 9번,내과,염증성 근육병증,류마티스,,임상의학,
2024 KMLE 3교시 73번,산부인과,불임(불임증/보조생식술),부인과-생식내분비,,임상의학,
2024 KMLE 1교시 16번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2024 KMLE 3교시 26번,내과,뇌하수체 전엽 및 시상하부 질환,내분비,,임상의학,
2024 KMLE 3교시 55번,내과,폐렴,호흡기,,임상의학,
2022 KMLE 2교시 64번,산부인과,자궁내막증,부인과-생식내분비,,임상의학,
2021 KMLE 3교시 8번,내과,폐암,호흡기,,임상의학,
2023 KMLE 4교시 8번,내과,췌장 질환,소화기-간담췌,,임상의학,
2023 KMLE 1교시 29번,산부인과,불임(불임증/보조생식술),부인과-생식내분비,,임상의학,
2025 KMLE 2교시 79번,내과,류마티스질환의 접근,류마티스,,임상의학,
2022 KMLE 4교시 21번,내과,흉막과 종격동 질환,호흡기,,임상의학,
2024 KMLE 1교시 21번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2024 KMLE 4교시 44번,내과,음식 알레르기,알레르기,,임상의학,
2024 KMLE 3교시 42번,내과,폐암,호흡기,,임상의학,
2025 KMLE 3교시 47번,마이너,두통,신경과/신경외과,,임상의학,
2026 KMLE 1교시 30번,소아청소년과,발달,총론,,임상의학,
2025 KMLE 2교시 65번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2021 KMLE 3교시 10번,소아청소년과,소화기 질환,각론,,임상의학,
2024 KMLE 3교시 49번,내과,만성폐쇄성폐질환,호흡기,,임상의학,
2025 KMLE 2교시 25번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2023 KMLE 1교시 32번,소아청소년과,신생아 질환,총론,,임상의학,
2021 KMLE 2교시 38번,외과,담낭과 담도,외과각론,SGSP01500008,임상의학,
2024 KMLE 3교시 14번,내과,염증성 장질환,소화기-위장관,,임상의학,
2025 KMLE 4교시 71번,정신건강의학과,조현병 및 기타 정신병적 장애,질환,,임상의학,
2021 KMLE 2교시 16번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2023 KMLE 2교시 76번,정신건강의학과,불안장애,질환,,임상의학,
2023 KMLE 2교시 34번,외과,외상,외과총론,SGGN01000011,임상의학,
2022 KMLE 4교시 59번,내과,스피로헤타 감염,감염,,임상의학,
2026 KMLE 1교시 19번,의료법규,후천성면역결핍증 예방법,의료법규,,인문사회의학,
2023 KMLE 2교시 19번,외과,위와 샘창자(십이지장),외과각론,SGSP00900022,임상의학,
2021 KMLE 5교시 16번,내과,감염성 심내막염,순환기,,임상의학,
2025 KMLE 2교시 4번,외과,화상과 한랭 손상,외과총론,SGGN01100001,임상의학,
2021 KMLE 2교시 22번,마이너,이상운동 질환,신경과/신경외과,,임상의학,
2025 KMLE 2교시 73번,외과,담낭과 담도,외과각론,SGSP01500003,임상의학,
2023 KMLE 3교시 15번,내과,심막질환,순환기,,임상의학,
2022 KMLE 3교시 16번,마이너,뇌혈관 질환(뇌출혈/뇌경색),신경과/신경외과,,임상의학,
2023 KMLE 4교시 15번,마이너,뇌혈관 질환(뇌출혈/뇌경색),신경과/신경외과,,임상의학,
2026 KMLE 1교시 47번,내과,종양의 치료,종양,,임상의학,
2024 KMLE 1교시 63번,예방의학,물리적 환경,환경 및 산업보건,,인문사회의학,
2022 KMLE 3교시 64번,외과,위와 샘창자(십이지장),외과각론,SGSP00900018,임상의학,
2024 KMLE 2교시 9번,,,,,,
2024 KMLE 1교시 50번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2024 KMLE 2교시 58번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2023 KMLE 2교시 22번,정신건강의학과,조현병 및 기타 정신병적 장애,질환,,임상의학,
2023 KMLE 2교시 42번,내과,중추신경계 감염,감염,,임상의학,
2021 KMLE 3교시 19번,외과,외상,외과총론,SGGN01000007,임상의학,
2024 KMLE 2교시 52번,내과,DNA 바이러스 질환,감염,,임상의학,
2024 KMLE 1교시 53번,외과,외과적 합병증,외과총론,SGGN00800001,임상의학,
2025 KMLE 1교시 27번,외과,유방,외과각론,SGSP00100001,임상의학,
2024 KMLE 3교시 10번,내과,심부전,순환기,,임상의학,
2025 KMLE 1교시 55번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2024 KMLE 1교시 1번,의료법규,후천성면역결핍증 예방법,의료법규,,인문사회의학,
2021 KMLE 5교시 28번,내과,폐렴,호흡기,,임상의학,
2024 KMLE 4교시 80번,소아청소년과,신생아 황달,총론,,임상의학,
2024 KMLE 4교시 40번,내과,콩팥토리질환,신장,,임상의학,
2022 KMLE 4교시 45번,마이너,사고와 중독,응급의학과,,임상의학,
2022 KMLE 1교시 22번,내과,빈맥성 부정맥,순환기,,임상의학,
2023 KMLE 4교시 24번,내과,패혈증과 패혈성 쇼크,감염,,임상의학,
2024 KMLE 1교시 79번,예방의학,의료윤리,건강증진/의료윤리,,인문사회의학,
2025 KMLE 2교시 56번,소아청소년과,정상 신생아(신생아 관리),총론,,임상의학,
2024 KMLE 3교시 77번,내과,과민성 대장증후군,소화기-위장관,,임상의학,
2024 KMLE 2교시 45번,마이너,감염성 피부질환(세균/진균/바이러스),피부과,,임상의학,
2025 KMLE 3교시 76번,내과,감염질환 개요,감염,,임상의학,
2024 KMLE 4교시 57번,산부인과,산전 관리,산과-산전관리,,임상의학,
2021 KMLE 4교시 64번,마이너,음경 및 요도 질환,비뇨의학과,,임상의학,
2022 KMLE 2교시 66번,소아청소년과,소아의 영양,총론,,임상의학,
2025 KMLE 1교시 29번,내과,담낭 및 담도 질환,소화기-간담췌,SGSP01500002,임상의학,
2022 KMLE 1교시 39번,내과,콩팥토리질환,신장,,임상의학,
2026 KMLE 1교시 49번,산부인과,월경통(월경곤란증/월경전 증후군),부인과-일반,,임상의학,
2022 KMLE 1교시 4번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2022 KMLE 2교시 4번,내과,폐암,호흡기,,임상의학,
2024 KMLE 3교시 69번,정신건강의학과,기분 장애,질환,,임상의학,
2025 KMLE 4교시 43번,소아청소년과,신경계 질환,각론,,임상의학,
2023 KMLE 4교시 48번,산부인과,자궁내막증식증,부인과-종양,,임상의학,
2021 KMLE 5교시 6번,외과,췌장,외과각론,SGSP01600004,임상의학,
2021 KMLE 5교시 29번,내과,만성 콩팥기능상실,신장,,임상의학,
